song_name,artist,cluster
It's A Good Thing,Field Music,6
Defense,Sarah Jaffe,10
The Promise,Mint Julep,10
A Souvenir For Every Hope You Had,Found,15
This Changes Everything,New Pharaohs,14
Up,Victories at Sea,9
Human Animal,Total Giovanni,5
Echo,Crazy P,15
Dangerous,Ladyhawke,13
All Out in the Open,Mesita,8
To Know You,Wild Nothing,8
IM U,Beacon,8
"Détache-toi, Shen Jing Mo Shao - BTA Version","AM444, M, B. Ackley",5
Madly,Bogan Via,9
Taste It,Little Boots,13
Last Forever,Fenech-Soler,3
Walking Disaster,The KBC,13
Pogo in the Shoes of Kylie Minogue,Planetakis,11
Greenback Boogie,Ima Robot,5
Water Fountain,Tune-Yards,7
Gangsta,Tune-Yards,5
Chaka Demus,Jamie T,7
Synrise,GOOSE,13
Pussy,Brazilian Girls,5
Powa,Tune-Yards,6
Overcome,Casa del Mirto,8
You Are Real,Theme Park,3
Deny,Cavaliers Of Fun,11
White Nights,Kasket Club,8
Rantanplant,Siriusmo,3
Liquid Metal,Aldo,2
Weekends and Bleak Days (Hot Summer),Young Knives,5
Running out of Time,Hot Hot Heat,3
Granada,Protistas,8
If You Ever Wanna Change Your Mind,Sally Shapiro,6
"Tonight, We Fall",ADULT.,7
One O Six,Jupiter,6
Calm,Maximo Park,14
Go Home Get Down,Death From Above 1979,5
Jackson's Last Stand,Ou Est Le Swimming Pool,7
Hey Scenesters!,The Cribs,9
Kisses,Kisses,11
Perfume Do Invisível,Céu,12
Sudden Ambitions,Lust For Youth,10
Secret Weapon - Alex Metric Remix,"The Whip, Alex Metric",13
Contra,Delorean,14
In Our Blood,Fenech-Soler,9
Birthday,"Boys Noize, Hudson Mohawke, Spank Rock",5
Shape Cutting Catalyst,Glamour For Better,9
Get My Bang,Wild Beasts,6
Jackie - Flairs rmx,Bitchee Bitchee Ya Ya Ya,8
Gateways,The Departure,14
House,Kindness,14
Magojiro,In Flagranti,13
Baby I'm Yours (feat. Irfane),"Breakbot, Irfane",11
Cough Cough,Everything Everything,11
Shot You Down,"Audio Bullys, Nancy Sinatra",11
2 Live,Boys Noize,10
Dominos,Peter Bjorn and John,11
Y.A.L.A.,M.I.A.,7
Black Sheep,Metric,14
Traenen aus Bier,Siriusmo,13
I Can't Keep Running,Chromatics,14
Los Niños,Boys Noize,8
Dance Like Hell,Monarchy,2
Party Van,Star Slinger,5
Frost,Germany Germany,2
Uniforms,Black Cab,8
Records For The Righteous,Grafton Primary,10
The Weekend,Islands,2
Daffodil Days,Oscar Scheller,2
Oh No,Jessy Lanza,2
Bing Bong,Super Furry Animals,8
Mr. Haines,Smooth Ends,5
On Board,Friendly Fires,11
Echoplex - ft MAI,Miami Horror,11
Be the Light,Mesita,11
Saké,Jupiter,11
Feel Electric,Maximum Love,13
Lose Control,Dezi 5,11
Whatever,Ruby Haunt,8
Siberian Nights,The Kills,13
A Ruin,Kauf,15
Menace (Original Mix) - unmixed,"Axel Le Baron, Kurbatov",0
Shake,The Whip,2
Effective Placebo Affect - Original,In Flagranti,15
First World Problem,Unknown Mortal Orchestra,11
Overlord,Big Black Delta,11
Feeling My Heart Run Slow,Paul Draper,9
Pilgrims,Johnny Lloyd,11
Threat of Joy,The Strokes,7
Action (feat. Cat Power & Mike D) - Norman Bay Nassau Rework,"Cassius, Cat Power, Mike D",15
Blume,Eagulls,3
Fear of the Future,Shitdisco,5
Midnight Hours,Wunder Wunder,9
To The Last Beat of My Heart,Fujiya & Miyagi,8
C'est La Vie Way,Wolf Parade,3
#1 Record,SKATERS,8
Joni,Braids,2
Lovesick,The Vanishing,3
Autonomic,DBFC,15
Take Some Time Out - Club,Arnold Jarvis,7
Model,to my boy,7
Lesson From The Darkness,The Faint,9
U Can Dance,"DJ Hell, Bryan Ferry",15
The Greeks,IS TROPICAL,9
The Fringe,Sego,11
Struck Dumb,The Futureheads,9
Nightdriving,The Amazons,10
Get What You Want,Operator Please,3
Sommer,Housemeister,8
Umbilical Noose,Dandi Wind,2
Eastenders,We smoke Fags,9
My Mates Say,The Bulletproof Bomb,11
Borders,The Sunshine Underground,2
Next to You,"Bumblebeez, Maria",0
LaLa,Kids Of 88,7
Rave Dave,Trash Fashion,9
Joke,Chastity Belt,9
Yeah!,Pet Tigers,7
The Passenger,Hunter As a Horse,14
Blue and Blind,Bespin,8
TKO,Le Tigre,5
Incinerate,Sonic Youth,8
Miracle Aligner,The Last Shadow Puppets,11
Believe,Dream Wife,7
Lonely Heart,Dragonette,2
Car Song (feat. Santigold),"Spank Rock, Santigold",11
Shipwreck,Hot Club De Paris,7
Crouching Bees,Fight Like Apes,2
Be Free - Michael Traxx Remix,Rapture,11
Inside Your Mind,GATC,2
Drifting Away,Grum,10
I Heard Them Say (Andy Stott Remix) - mixed,"Maps, Andy Stott",5
Impossible Sightings Over Shelton,The Victorian English Gentlemens Club,8
The Great Escape,We Are Scientists,2
Sunday Love,Bat For Lashes,9
Dial Me In,Factory Floor,15
Lina,Les Sins,0
NY Lipps - Kawazaki Dub,Soulwax,11
Monsters Under The Bed,Eugene McGuinness,2
Avocado Moon,World Champion,15
Bad Blood,Simian Mobile Disco,2
Huggin & Kissin,Big Black Delta,3
No Mercy,Claude Violante,11
Black Tar,The Kills,14
Ten Miles High,Shit Robot,15
Teddy - Original Mix,The Sneekers,2
My Licorne & Me - Rework,Poom,14
B Side - Original Mix,Tanner Ross,15
Italove,EMMANUELLE,2
Mirror,Motorama,8
Skin Shed,Kristin Kontrol,7
Fight the Feeling,WHITE,11
Battle For Middle You (Maurice Donovan Dub),Julio Bashmore,15
Chills,Ladyhawke,7
Cornerboy,Siriusmo,11
Theme To Volume 2,Star Slinger,13
The Sun,WhoMadeWho,11
Drag Queen,The Strokes,14
Girls Like You,Zibra,5
Tropical Hands,Dorian Concept,13
In Love by Default,Band Of Skulls,9
Wasted State Of Mind,...And You Will Know Us by the Trail of Dead,3
Yesterday,Yumi Zouma,14
Wonder Feeling,Kate Jackson,3
Forza,Zombie Nation,8
90% Wasser,Moderat,8
83,Hey Today!,13
When I See You Again,Canyons,11
It's Ok !,The Supermen Lovers,10
Mind Control,Death In Vegas,13
In an Open Space,"Pantha Du Prince, Queens",13
Astral Projection,"Strip Steve, Puro Instinct",11
Bearded Lady Motorcycle Show,Bot'Ox,8
Time to Dance - Extended Video Edit,The Shoes,15
Your Stranger,The Faint,3
You Should Do Better,Cut Off Your Hands,7
Your Disco Song,Vitalic,9
Reticence,Girls Names,3
When I Grow Up - D.Lissvik,Fever Ray,5
I Can Never Be Myself When You're Around,Chromatics,14
Intensity,The Whip,7
Venus,Air,4
Empty,Garbage,5
Blackout,Garbage,15
Night Drive Loneliness,Garbage,9
So We Can Stay Alive,Garbage,8
Amends,Garbage,9
Giving Up On You,Wild Belle,2
I Want It All,Dangerous Muse,14
A Love Song,Ladyhawke,2
Staring at the Sun,Little Boots,11
Rebellion (Lies) [Arcade Fire Cover],The Penelopes,7
End It Tonight,Teenagersintokyo,11
The Sound Of Violence - Reggae Rock Dub,Cassius,15
Sure as the Sun,New Young Pony Club,9
Serotonin Rushes,Fujiya & Miyagi,13
Somebody New,The Amplifetes,8
Lay Down The Law,Switches,11
Open Your Eyes,School Of Seven Bells,10
Short Sharp Shock,(We Are) Performance,3
White Nights,Oh Land,7
What We Had,Handsome Furs,14
My HDD is broken,Cof Cof,6
Home,Austra,8
The Times They Are a Changings,Grs Club,5
Somebody Who (Nzca Remix),Au Revoir Simone,11
Home 0207 - Original Mix,Plastic Operator,7
High Road,Cults,11
St. Justice,Albert Hammond Jr,2
The Living (Drumsound & Bassline Smith Remix),Performance,3
Wetsuit,The Vaccines,10
Empyrean Abattoir,of Montreal,9
Future - Canblaster Remix,The Count & Sinden,8
You Want the Sun,Niki & The Dove,11
Lonely Press Play,Damon Albarn,6
Toy Guns,Tokyo Police Club,3
True No 9 Blues (True Romance),Golden Silvers,2
Black Wax,Dananananaykroyd,3
Ashes to Ashes,Warpaint,7
Gronlandic Edit,of Montreal,11
Go Outside,Cults,8
Space Song,Beach House,9
Post Break-Up Sex,The Vaccines,3
Hard Habit To Break,The Kills,11
Wraith Pinned to the Mist and Other Games,of Montreal,6
Billie Holiday,Warpaint,14
Always Forever,Cults,3
Freudian Slips,Fujiya & Miyagi,13
Staring At All This Handle - Original Mix,Simian Mobile Disco,13
Red Velvet,Affer,8
Colours - Prins Thomas Diskomiks,"Roosevelt, Prins Thomas",15
Impossible Tracks,The Kills,13
Cannonball,Hidden Charms,11
Look At the State of It,New Secret Weapon,2
Lavapiés,Alejandro Paz,2
it's different for girls,of Montreal,5
Arise,Death In Vegas,13
Dynamite,"Boys Noize, Benga",11
Sunflare,Moullinex,11
Militia,Crim3s,10
On s'en va,Marie Madeleine,6
Give Me Every Little Thing,The Juan Maclean,2
Atomic,"Sleeper, Rapino Brothers",11
Ecstasy,Soviet Soviet,9
Conscious,Yula Kasp,4
Pink Heart Mother,Moonbabies,5
Nouveau Americain,Brazilian Girls,8
Doubt,Delphic,3
La Vérité,Vive La Fête,7
Take Me Away,Spring King,2
Back Together,Metronomy,11
Desire,Ruby Haunt,1
Hard Sleep,Peter Bjorn and John,9
Anyone,Moving Units,8
Jigsaw Falling Into Place,Radiohead,9
Erounds,Band Of Skulls,2
Conversations With Myself,Drowners,9
The Hunter,Marley Carroll,14
Human Om,TOBACCO,6
Cloud,Fischerspooner,7
Creation,Beyond The Wizards Sleeve,9
System,Archive,7
We Are Waves,Beat!Beat!Beat!,11
Secret Plans,Furniteur,13
I’ll Be with You,Cheese People,5
Uaaa - Eriq Johnson Remix,"Cheese People, Eriq Johnson",13
Came Back Haunted,Nine Inch Nails,11
Marble,The Toxic Avenger,14
When I Grow Up,Fever Ray,8
Fool's Paradise,The Sonic Boom Foundation,5
I Found Out,The Pigeon Detectives,3
The City,Patrick Wolf,2
House Jam,Gang Gang Dance,10
Rule Number One,Sleigh Bells,3
Beautiful Criminal - Aquilo Remix,"The Big Pink, Aquilo",4
A Long Goodbye,Peter Bjorn and John,9
Revolt,Boys Noize,5
I Belong in Your Arms,Chairlift,3
Whirling Eye,The Kills,8
Between The Lines,Peter Bjorn and John,11
Money To Burn,Ladyhawke,11
It's So Dark,Spring King,9
Simply Dead,Digitalism,8
Stay Blue,Thieves Like Us,11
Lonely By Your Side,Zoot Woman,11
Oh.. (Call Me Back),NZCA LINES,0
Vyvanse,Grounders,3
Lovesick Teenagers,Bear In Heaven,8
runaways,Mirror Kisses,0
Flowerhead,Air,12
Was That a Sign,Nite Jewel,14
Feel You,Twin Wave,9
The Young Machines,Her Space Holiday,13
So High,Males,13
Collapsing Outside Your Doorstep,Air France,7
Cliché,Hey Champ,11
Be Brave,Tropic of Cancer,15
Oh Yeah!,Reset!,0
We Are Your Friends (Reprise),Justice,0
You Don’t Get Me High Anymore,Phantogram,2
24 Hours - The Aston Shuffle A-bomb Remix,Terry Poison,2
Serotonin Rushes,Fujiya & Miyagi,13
Either Way,Trouble Andrew,14
7 Ways To Jack,Hercules,15
Mr Tembo,Damon Albarn,5
Whistleblower,Bonaparte,7
Signs of Life - Remix,Every Move A Picture,8
Ch-Ching (feat. D.R.A.M. & Jimi Tents) - Redux,"Chairlift, DRAM, Jimi Tents",0
Follow,Crystal Fighters,3
Heart It Races,Architecture In Helsinki,11
Night Owl,Metronomy,7
It's Your Call,Peter Bjorn and John,9
Face to Face,Little Boots,11
Epic,Delorean,5
Over the Weekend,Nite Jewel,8
We Try,The Pass,11
Summer's Almost Gone,The Temper Trap,10
Bookshop Casanova,The Clientele,8
La Luna,Little Jesus,15
Anna,Will Butler,5
Numero Uno,The Rifles,11
Colours,The Avalanches,5
Keep Your Eyes Ahead,The Helio Sequence,3
Never Die Again,The Rapture,9
Are You Trending?,Vessels,15
Jenny Loves Jenae,BRONCHO,3
Dreamland,Johnny Lloyd,14
C-C (You Set The Fire In Me),Tom Vek,3
Humanise,Le Galaxie,7
You Better,Grenda,13
Una Naranja,Diosque,7
Anxiety,Preoccupations,8
Humdrum,DBFC,11
Some Velvet Morning,"Primal Scream, Kate Moss",7
Life’s Dancers,The Invisible,13
Zenith,"Kasper Bjørke, Null+Void",15
Sexy Results - MSTRKRFT Edition,Death From Above 1979,2
San Narciso,Faded Paper Figures,2
Boxer,Lovers,10
Friend Crush,Friends,7
Me And You,Gateway Drugs,8
Savage,Hacienda,7
Sulk,TR/ST,15
Somebody Who,Au Revoir Simone,13
You Should Be Glad You've Got a Man,The Family Rain,0
Poisonous Emblem,The KBC,2
When Mercury Hits the Red,Revl9n,11
Show Me the Way (Audiotree Live Version),Penguin Prison,7
Sometimes It's Easy,Plastic Operator,1
Sun of a Gun,Oh Land,0
Figures,Delorean,14
Born In The EU - Demo,Spector,2
La fête sauvage,Todd Terje & The Olsens,15
Rays,Kasper Bjørke,15
Jist,Boxed In,10
"Darling, It's Alright",Francis and the Lights,2
Human Remains,Drowners,3
Without You,Rainbow Arabia,7
Sunshine (Original Mix),John Talabot,15
American Sunset,Ben Browning,13
We Should Go,The Pass,9
Film Noir,Vitalic,15
Freakin' Time,In Flagranti,13
All The King's Men,Wild Beasts,2
Providence,The Temper Trap,9
Palo Santo,Teen Daze,13
The Haste,Casa del Mirto,0
Miles & Miles,YACHT,15
Telephone,Most People,3
Fuzz,Computer Magic,5
Stinky Wig,Siriusmo,13
Years To Build,Weval,14
Take It Out on Me,White Lies,3
Peccavi,Puro Instinct,10
Confetti,Cold Cave,13
You're Not the One - V.I.P. Trap Dub,"Kissy Sell Out, Queen of Hearts",2
Toop Toop,Cassius,0
Homicide,Prairie Cartel,2
Lose Control - Fred Falke Remix,Kish Mauve,15
Miracle,Supersystem,2
Are We Ready? (Wreck),Two Door Cinema Club,11
Pulling Levers,Hot Hot Heat,2
The Church,Patience,10
Slow Down,Du Tonc,15
A Good Man Is Hard to Find,Johnny Foreigner,10
Throw It on the Fire,Bogan Via,10
7: 41,Still Parade,8
Rare Boots,LIFE,3
Dans Un Autre Reve,Brett,11
The Equalizer,Junior Boys,2
Lux,MIDI Lidi,2
Beautiful Object,Glass Candy,6
Only Human,Delphic,13
Closer,Delorean,10
Lost Boys,Still Corners,10
Inside the Sun,Loose Meat,8
After Dark,Night Drive,13
Good Girl Freak out (feat. Future People),"Double Duchess, Future People",7
Relationships,Friendly Fires,7
Better Than Me,Blood Orange,0
Goth Star,Pictureplane,8
Demon Dance,Julian Winding,15
Morning Guitar,Flap Jack,8
Niña Bien,Little Jesus,6
Hondo,Beta Frontiers,2
Firecracker,Todd Terje & The Olsens,13
I Ain't Saying My Goodbyes,Tom Vek,7
Brotherhood,Cassius,14
Every Little Thing - feat. Irfane and Teki Latex,Para One,7
Heaven,Spring King,2
Higher,The Naked And Famous,5
Never Let Me Down Again,The Penelopes,11
My Only Chance,The Toxic Avenger,14
Fineshrine,Purity Ring,9
Big Cat,Wild Beasts,6
Subways,The Avalanches,5
Fokionos Negri Street,Keep Shelly In Athens,8
Magnitude,Hot Hot Heat,7
Disk Go,Teeel,11
City,Lo-Fi-Fnk,7
Simpatico,NAVVI,13
Big Love,CFCF,13
Warm & Easy,The 2 Bears,5
Serve the People,Handsome Furs,3
Love's Not an Obstacle,Metronomy,13
Concrete,Crystal Castles,13
Thoughts Wasted,Róisín Murphy,12
Push,Delorean,6
Walk Through The Fire,Races,10
I Will Come Back,Holy Ghost!,13
Live A Lifetime Love,The Avalanches,5
Destination Breakdown - Alex Gopher Rework,Digitalism,15
Fiendin',Allen French,13
Hands Up,Blood Orange,14
"Lights, Camera, Action",Dena,11
Edward The Confessor,Breton,2
Family,The Cast Of Cheers,3
Six of Swords,Puro Instinct,9
Up!,The Black and White Years,0
Aroused,Tom Vek,11
Dancing Anymore,IS TROPICAL,8
Be The One,Jack Peñate,10
Sambal,"Aeroplane, Purple Disco Machine",13
Go Off,M.I.A.,9
L.E.S. Artistes,Santigold,7
Saturday Night Inside Out,The Avalanches,13
The Fall,Body Language,10
Comet,L I M,5
Forget,Home Video,11
Celestial Creatures,Wild Beasts,8
Am I Normal,Coco Morier,11
Heaven Scent - Deeweedub,"Soulwax, Chloe Sevigny",15
Runaway,MSTRKRFT,9
Speedway Sonora,Banks & Steelz,9
Undevastator,Johnny Foreigner,8
Cowboys or Indians,"UNKLE, Ysée, Mink, Elliott Power",15
Sugar,PAWWS,14
Degraded - Edit,Preoccupations,13
Sunlight,The One AM Radio,13
I Will Talk To You,Toro y Moi,14
Hyper Dark,Sleigh Bells,9
Standard (Jim Eno Sessions),Empress Of,1
Sunrising,Tahiti 80,8
Weekend,Class Actress,2
In Ruins,Fol Chen,7
Complexity Reducer,Delorean,7
By The Numbers,Jamaica,3
UNITEDÂ,Revl9n,2
I Think I Like It,Fake Blood,7
Digital Witness,St. Vincent,6
Alright,Pony Pony Run Run,11
Pistols & Hearts - The Bloody Beetroots Remix,Captain Phoenix,0
Disco//very,Warpaint,7
Drive Your Car - Hot Chip Remix,Grovesnor,7
Exclusive,Popular Damage,5
If You Know,Barton Fink,7
Junior - Bitchee Bitchee Ya Ya Remix,Poney Poney,10
At the Party,Baddies,3
I Am the Sound,My Tiger My Timing,7
Cruel,St. Vincent,8
Safe and Sound,Justice,11
Hey You,Pony Pony Run Run,11
Pharma Karma,Sam Sparro,14
Time to Dance,"The Shoes, ANTHONIN TERNANT",5
Because I’m Me,The Avalanches,10
Stop,Pony Pony Run Run,2
Death in the Gulf Stream,MSTRKRFT,13
Soft Attack - Original Mix,Simian Mobile Disco,15
Iron Lung,Black Marble,8
Dreamin',Pillar Point,13
Step Up,WHITE,8
Let's Write a Book,Field Music,2
Born Again,DIANA,2
Ready For The Magic,Honeyblood,3
320 Papaloy!,Sentidos Apuestos,9
Away,Hawaiian Gremlins,13
Bits and Pieces,Junior Boys,6
The Dive,Fool's Gold,2
Jungle Birds,Flamingods,10
Tough Guy,Wild Beasts,11
Started a War,Gemini Club,7
Don't Look Down,Holy Ghost!,10
Hologram,YACHT,14
Wan Thang,Tahiti 80,10
Drugs In My Body,Thieves Like Us,13
Face Down In The Gutter Of Your Love,Dent May,11
Lights On,IS TROPICAL,13
Patins,CSS,8
Lose Myself,Psychic Twin,9
Acid Rain,Lorn,14
Gangs in the Garden,Black Moth Super Rainbow,2
Sex on the Beach,Dempsey,5
None of It Real,Ships,14
Love Is a Number,White Rose Movement,13
Let Go,The Japanese Popstars,13
Ready for the Floor,Lissy Trullie,7
Snowflake,Malachai,7
Into The Future,Bunny Lake,5
She Loves Everybody,Chester French,14
A's Not For Quebec,Sexual Earthquake In Kobe,14
My Dunks,The Clik Clik,7
Turn Me On,Bromheads Jacket,2
I Wasn't Made For Fighting,Woodhands,11
O B 1,Jagwar Ma,10
Take It with a Kiss,The Pistolas,11
Wet 'n' Wild - Original Version,K.I.M.,13
Hold Me Down - Shoes Remix,Primary 1,2
New Song,Warpaint,9
Under the Sun - Hervé's Ain't No Sunshine Mix,Kidda,7
We are all Prostitutes (Crookers Rmx),"Adam Sky, Mark Stewart",15
Real Good,Tiny Masters Of Today,5
I Don't Want to Fall in Love With You,Kid Carpet,11
Saga Boy,Chow Chow,2
Do It Again,The Fire and Reason,11
Find Me a Place,Jupiter One,6
You Will See Me,Dan Le Sac vs Scroobius Pip,14
My secret romance,College,8
Vagabond,Greenskeepers,8
Come Save Me,Jagwar Ma,2
Waves,Electric Guest,11
Little Friend,Just Jack,10
Major Tom (Coming Home),Shiny Toy Guns,9
Make This Right,The Toxic Avenger,10
Berlin feat. Miss Platnum,"Modeselektor, Miss Platnum",5
Don’t Fuck With My Money,Penguin Prison,7
Get Real,Chairlift,1
Dominos - Galantis Remix,"Peter Bjorn and John, Galantis",2
Let's Go Surfing,The Drums,6
Crystalfilm,Little Dragon,8
Strange Mercy,St. Vincent,10
Yet Again,Grizzly Bear,9
Wayfarer,Kavinsky,13
Hands Up,Sam Sparro,11
Warsaw,"Moving Units, Justin Pearson",3
Circles,Tesla Boy,15
Jerk Me,New Young Pony Club,5
Dry Blood,Parallels,2
And the Sea,Poolside,8
Holiday,First Hate,10
End of the Week,Merchandise,8
Simple Reminder,TOKiMONSTA,8
Ten Miles High - Derrick Carter Dub,Róisín Murphy,15
Cheap Shots,Holy Ghost!,8
The Plug Won't,Mykki Blanco,0
C.Y.O.A!,Heartsrevolution,11
Telling Lies,Grafton Primary,11
Slow Learner,Telepathe,9
Get High With Me,"Smileyface, Washed Out",7
UNTLD,Teen Flirt,8
Regulator,"Loose Meat, Cibelle",2
Dead Lazers,Kap Bambino,3
All I Want,Gemini Club,7
Wild Things,Ladyhawke,10
Ooey,Vitalic,15
Drop FM,"A. G. Cook, Hannah Diamond",7
Turn Me On,Dinner,11
I Travel To You - Original,Bepu N'Gali,15
Strange Attraction,DIANA,14
Guap,Yaeji,15
Anything You Want,Frankmusik,9
Driving in Nails,Archive,15
Dance In Dark,Proxy,0
One Good Thing - Opening,DJDS,14
Moments Of Excellence feat. Holy Ghost! - Holy Ghost! Version,Black Van,7
Candy Castle,Glass Candy,11
You Just Want,King Creosote,15
Come Near Me,"Massive Attack, Ghostpoet",1
2007,YOU LOVE HER,9
Fire,Tristesse Contemporaine,11
You're the Reason Why I'm Afraid To Die,Eagle Seagull,10
You're the Good Things (It's Alright to Die),Modest Mouse,14
Spring / Sun / Winter / Dread - Jim Eno Sessions,Everything Everything,2
Black Monday (Demo),The Golden Filter,8
Harvest Moon,Poolside,5
Time Won't Let Me Go,The Bravery,3
Delorean Dynamite,Todd Terje,15
Inspector Norse,Todd Terje,13
Next to You,Poolside,13
Crime Cutz,Holy Ghost!,15
Char,Crystal Castles,0
American Daydream,Electric Guest,14
Skylab1979,The Faint,2
Collect Those Ends,Jensen Interceptor,15
Death by Disco,TOKiMONSTA,13
"Another Time, Another Place",Arnaud Rebotini,15
Music in my mind,Lindstrøm & Christabelle,7
Discotirso,Knightlife,11
Beat And The Pulse,Austra,8
Happiness is such a mess,Introverted Dancefloor,13
Ponytail,Wild Beasts,7
Morning of the Hunt,MSTRKRFT,5
Now Stop,IS TROPICAL,5
Remember In Reverse - Original Mix,Simian Mobile Disco,15
Say That,Toro y Moi,14
For The Record,Beat Connection,5
If You Return,"Maximum Balloon Feat. Ambrosia Parsley, Little Dragon",2
Kick,White Rose Movement,3
Stereotype,Holy Ghost!,2
Tragedies of a Love Song,GATC,3
Never Enough,Fantastic Fantastic,13
Woods,Black Marble,8
Boy,Arthur Wimble,14
Forever,Emika,13
Singin',"Cosmonaut Grechko, Joywave",15
Ends Of The Earth,Hot Chip,11
No Reptiles - Jim Eno Sessions,Everything Everything,14
Never Had the Time,WhoMadeWho,14
Daisy Chain,"Loose Meat, Cibelle",8
Life After Sundown,Glass Candy,2
Dead Living Things,Jackson And His Computer Band,10
In the City,The Swiss,11
Beyond Paradise,"Hypnolove, Piper Kaplan",14
Something Better,Beat Club,9
Bored Of Each Other,Friendly Fires,8
Carpe Jugular,The Hidden Cameras,2
Something's Gonna Happen,The Sunshine Underground,8
Make Me Fall In Love - Benny Benassi Remix Edit,"Tiga, Benny Benassi",2
Clap Clap Sound,The Klaxons,2
Let's Lightning,Pull Tiger Tail,3
I Love U All,Niyi,7
My Ways,MAY68,8
2020,SUUNS,10
Lonely Telephone,Just Jack,7
Stop - We are I.V Remix,Pony Pony Run Run,14
Grown Up Calls,Toro y Moi,5
Cheerleader,St. Vincent,1
Don't Come Close,Yeasayer,14
Eat Your Heart Out Adonis,Wild Beasts,11
trashed exes,of Montreal,11
The Girl With Better Clothes,Crooked Man,11
Postcards (feat. Sam Island),"Equal, Sam Island",6
Raveshadow,Brasstronaut,11
The Subtle Frenzy,Lonely Boy,15
Gemini,Hoops,13
Kicks,Funeral Suits,10
One Hand Holding,The Maccabees,5
True Value,The Range,8
Hush,Casa del Mirto,7
Fleece,Crystal Castles,3
Sin Revine,GLASS CANDY,4
Deborah Carne,White Rose Movement,2
California Dreams Never Called,The Derevolutions,7
Say My Name,Tesla Boy,14
A New Reality - Radio Edit,Klaxons,3
"Time Travel, Vol. 1",Gigamesh,14
I Like You / I Lied To You,Dena,5
Fall Together - Johnson Somerset,"The Temper Trap, Johnson Somerset",15
Cavalo,Noporn,8
End of the Day,All Tvvins,2
Mind How You Go,Tijuana Panthers,9
Dancing in the Dark,Wet Baes,6
Young Girl,Midnight Generation,7
Kilometer,Easter,10
Breaking My Phone,"Oscar Scheller, girli",3
Voyage amoureux,Le Couleur,14
Casualty,Pional,7
All Night,Crystal Fighters,2
I Liked You Better When You Needed Me,WHITE,7
Boys X Girls,YOU LOVE HER,3
Give Me a Reason (Radio Edit),Jagwar Ma,10
Off Shore The World,Sexual Earthquake In Kobe,11
An Honest Mistake,The Bravery,9
Tremel (Jamie xx Remix),Glasser,6
Apply,Glasser,8
Utopia,Digitalism,15
Heart,Roosevelt,2
Down with Heaven and Hell,Still Corners,8
DizZzy,Zach Schimpf,8
Face In The Moon,Springtime Carnivore,3
Tattoo Of The King,Slow Club,2
Leaving Home,GATC,9
Pick Your Shots Clean - Original Mix,Pedestrian,6
Book,All Tvvins,3
Days,"Creep, Romy Madley Croft",10
Their Kindness Is Charade,Crystal Castles,9
Give Me a Reason,Jagwar Ma,15
Touchtone,Legs,2
Forget - Radio Edit,Boxed In,2
Meet Me At the End,Factory Floor,15
Warlock Mary,TOBACCO,13
Can't Go Back,Bogan Via,10
Natural (feat. Donne),"Germany Germany, Donne",10
History,"Gigamesh, Damon Scott",11
In My Game,Pillow Person,7
Off The Map,Simian Mobile Disco,2
Never,Emika,15
Exact Location of the Soul - Original Mix,Thunder Tillman,15
Fire on the Moon,Sailor & I,13
The Magician,Symmetry,8
Begin,"Tim Burgess, Peter Gordon",2
The Night,Benjamin Ellis Bernard,7
Techno Clique,Neon Indian,10
Cruel World,Phantogram,5
Waterfalls,Los Porcos,5
T5,"Swet Shop Boys, Riz Ahmed, Heems",0
60/40 (Nico),Steve Gunn,10
Spare the Ones that Weep,Mark Stoermer,12
Fast Silver,TOY,15
Stay,The Black Madonna,15
Shapeshifting,Color War,8
Bliss,Ducky,13
The 15th,Fischerspooner,10
A Certain Person,Light Asylum,7
Wardenclyffe,S U R V I V E,13
Actor Out of Work,Escort,7
Dicey Street Blues,Barton Fink,14
There Is XXXX (Within My Heart),You Say Party! We Say Die!,14
Laid Low,The Naked And Famous,10
Bizness,Tune-Yards,11
Baby Fat,Junior Boys,13
Blue Jean Smile (feat. John Gourley),"Cassius, John Gourley",9
Misery Feat. Freddie Foxxx & Ip,The Lordz,11
Right Time,Raf Rundell,11
Full Court Press,"Tickle Torture, Velvet Negroni",2
Freundchen - Original Mix,Tensnake,15
The Running Man,The Wave Pictures,9
Home Invasionaries,TOBACCO,0
Graduation,Kero Kero Bonito,2
Breaking Into Aldi,Fat White Family,5
The Soft Bounce - Daniel Avery Rework,"Beyond The Wizards Sleeve, Daniel Avery",15
Conceal,Banks & Steelz,9
Cruise Control,IS TROPICAL,8
Water Lily,Moa Pillar,0
Signals,Night Games,9
Resistance Alpha,Kap Bambino,9
A Beautiful Mine,RJD2,8
Daytona,Roosevelt,4
Dimensions,Computer Magic,8
Physical 2.0 (feat. Disko Drunkards),"The Glimmers, Disko Drunkards",0
It's Just Us Now,Sleigh Bells,3
Things Like You,New Young Pony Club,2
Relay,Factory Floor,6
So Long,Gigamesh,14
Communion,"Maximum Balloon, Karen O",7
Brillianteen,Heartsrevolution,9
Lying Has To Stop - Single Version,"Soft Hair, LA Priest, Connan Mockasin",6
The Return of Norman Knight,Alpha Boy,3
Private Lives,Sam Sparro,2
Happy Ending,Alex Cameron,6
Have a Heart,Cymbals Eat Guitars,2
Candyland - feat. Jónsi,"Sin Fang, Jónsi",10
Snake Bite,Jee Day,2
Shelter - Original Mix,Hercules & Love Affair,7
